tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
5/3/2020 5:16,1.25671E+18,purboyuwono,"Ada Kupon THR 1 Juta dari PURBO YUWONO nih buat lengkapi kebutuhan Ramadan dari rumah! Yuk, klik link ini supaya kamu dan dia bisa gunakan kuponnya tanggal 4-5 Mei 2020! https://t.co/RoWja788Vn",Twitter for Android,0,0,ada kupon thr 1 juta dari purbo yuwono nih buat lengkap butuh ramadan dari rumah yuk klik link ini supaya kamu dan dia bisa guna kupon tanggal 45 mei 2020
5/3/2020 5:16,1.25671E+18,addict_do,"Ada Kupon THR 1 Juta dari Samsul Bahri nih buat lengkapi kebutuhan Ramadan dari rumah! Yuk, klik link ini supaya kamu dan dia bisa gunakan kuponnya tanggal 4-5 Mei 2020! https://t.co/NDPHJwVPfe",Twitter Web App,0,0,ada kupon thr 1 juta dari samsul bahri nih buat lengkap butuh ramadan dari rumah yuk klik link ini supaya kamu dan dia bisa guna kupon tanggal 45 mei 2020
5/3/2020 5:16,1.25671E+18,zapoeroceh,"Ada Kupon THR 1 Juta dari ZapoeR Oceh nih buat lengkapi kebutuhan Ramadan dari rumah! Yuk, klik link ini supaya kamu dan dia bisa gunakan kuponnya tanggal 4-5 Mei 2020! https://t.co/9LuLoFHOLf",Twitter for Android,0,0,ada kupon thr 1 juta dari zapoer oceh nih buat lengkap butuh ramadan dari rumah yuk klik link ini supaya kamu dan dia bisa guna kupon tanggal 45 mei 2020
5/3/2020 5:16,1.25671E+18,sutariniSS,@subtanyarl Jinggle tokopedia diskon 99%,Twitter for Android,0,0,jinggle tokopedia diskon 99
5/3/2020 5:16,1.25671E+18,fadhilssss,@GilangHamidy @thepatheticmeee @elzgtaimtyzr @underthebreach @tokopedia Makasih banget bang,Twitter for Android,1,0,makasih banget bang
5/3/2020 5:16,1.25671E+18,Artjhd,Mayan kinap https://t.co/vZfjRWZ0sC,Twitter for iPhone,0,0,mayan kap
5/3/2020 5:16,1.25671E+18,hiperbols,Me trying to remember whether I have a tokopedia account or not https://t.co/rvD4qAkNNk,Twitter for Android,0,0,me trying to remember whether i have a tokopedia account or not
5/3/2020 5:16,1.25671E+18,GilangHamidy,"@waildflawer @twilightsparkzz @ryopm_ @underthebreach @tokopedia pokoknya kalo dah pernah daftar, data lo ada di situ. Fix. Ganti semua password yang sama dengan password toped. Terutama password e-mail harus dibedain sendiri.",Twitter Web App,1,0,pokok kalo dah pernah daftar data lo ada di situ fix ganti semua password yang sama dengan password toped utama password email harus dibedain sendiri
5/3/2020 5:15,1.25671E+18,bi_bukanbabi,@presetsbysintia @hahaydeeeee @arbustam @yunaitji @fikafiika @ezash @tokopedia Kek nya sih udahh,Twitter for Android,0,0,kek nya sih udahh
5/3/2020 5:15,1.25671E+18,13BX,@indryadeline @underthebreach @tokopedia @TokopediaCare ayo kak ganti pasword mu sekarang,Twitter for Android,0,0,ayo kak ganti pasword mu sekarang
5/3/2020 5:15,1.25671E+18,ThePandhitas,"@achmadmrifki @bi_bukanbabi Gak , target hacker bukan akun tokopedianya. tokopedia akan reset password semuanya , tapi data email,password,dan nomor handphone itu yang berharga untuk credential stuffing,spamming campaign,dan social engineering di website ",Twitter Web App,1,0,gak target hacker bukan akun tokopedianya tokopedia akan reset password semua tapi data emailpassworddan nomor handphone itu yang harga untuk credential stuffingspamming campaigndan social engineering di website lain
5/3/2020 5:15,1.25671E+18,Ranipanji_,@indrasbitchhere @tokopedia Untung blm isi ini duh ngeri deh https://t.co/ImaEq5gqPH,Twitter for iPhone,0,0,untung blm isi ini duh ngeri deh
