tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
2020-05-03 05:37:11,1256714381154332672,ah220373,Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/ulUevq8ZKl https://t.co/QLz9VI4mPj,Twitter for Android,0,0,bantu siram tanam kamu juga bisa panen thr total 10m di shopee sekarang
2020-05-03 05:37:02,1256714341446909953,bola_indonesia,Saran Pelatih Persita Terkait Nasib Shopee Liga 1 https://t.co/SD2RTxzVES,dlvr.it,1,0,saran latih sita kait nasib shopee liga 1
2020-05-03 05:37:01,1256714339194568704,rizkiduwinanto,Ya shopee juga deh https://t.co/q4cFaoyYP9,Twitter for Android,0,0,ya shopee juga deh
2020-05-03 05:36:58,1256714325298798592,yourwaifeu,@pacarbighit https://t.co/PKeGFYTfBx,Twitter for Android,0,0,
2020-05-03 05:36:53,1256714306655105024,sulaiman_daswir,Bukak shopee tapi tak beli,Twitter for Android,0,1,bukak shopee tapi tak beli
2020-05-03 05:36:44,1256714268281466881,allegorih,btw gu jadi inget shopee juga ada kemungkinan data leak nih. demi dah kemaren gue ditelepon sama orang gajelas ngakunya dari shopee. belum sempet ngomong aiueo langsung gue matiin. apal bgt gue template nya penipu.,Twitter for Android,0,0,btw gu jadi inget shopee juga ada mungkin data leak nih demi dah kemaren gue telepon sama orang gajelas ngakunya dari shopee belum sempet ngomong aiueo langsung gue matiin apal bgt gue template nya tipu
2020-05-03 05:36:44,1256714264934408192,pedeskaret3,@ShopeeCare Makasiih Shopee 😘 Pagi juga,Twitter for Android,0,0,makasiih shopee pagi juga
2020-05-03 05:36:35,1256714228800516097,kghywn,Update  WTS Want to Sale Perintilan IZ*ONE IZONE  Minat? DM  atau  https://t.co/6UztIYCHb2 https://t.co/7b2LNYd3RL,Twitter for Android,0,0,update wts want to sale perintilan izone izone minat dm atau
2020-05-03 05:36:17,1256714153877626881,Dian13471243,Saya menjual Teh daun kelo... seharga Rp35.000. Dapatkan produk ini hanya di Shopee! https://t.co/3YwvwnT1Xr #ShopeeID https://t.co/f91hpPXXEl,Shopee_ID,0,0,saya jual teh daun kelo harga rp35000 dapat produk ini hanya di shopee
2020-05-03 05:35:52,1256714048499888128,Rmiansinaga,SIRAM BALIK 💕 Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/vFS5UXz5G1 #ShopeeTanamTHR10M #Shopeetanam #ShopeeDariRumah #ShopeeTHRChallenge #ShopeeID https://t.co/3PsDVkmwH4,Twitter for Android,0,0,siram balik bantu siram tanam kamu juga bisa panen thr total 10m di shopee sekarang
2020-05-03 05:35:43,1256714010382098433,harrenzzz,"@angewwie Yang nuduh saya penimbun, nyari untung gede, ga punya hati, macem2, coba kalian lihat lah yang jualan masker bedah di marketplace macam Tokopedia, Shopee, dsb. HARGANYA JAUH LEBIH MAHAL DARI PUNYA SAYA !  Saya udah jual rugi.",Twitter for Android,0,0,yang nuduh saya timbun nyari untung gede ga punya hati macem2 coba kalian lihat lah yang jual masker bedah di marketplace macam tokopedia shopee dsb harga jauh lebih mahal dari punya saya saya udah jual rugi
2020-05-03 05:35:40,1256713998222802944,n0cktrnl,@SYOPIFESS https://t.co/dR7sdpkSJ5,Twitter for Android,0,0,
2020-05-03 05:35:33,1256713969269501954,acmeiraa,"Main shopee capit rugi banget😪 koin ku 16rb jd tinggal 11rb perkara sekali capit pake 200 koin terus kalau udh berhasil ga semua 250, ada yg cuma 100 huhu belum lg kalau gagal capit.",Twitter for iPhone,0,0,main shopee capit rugi banget koin ku 16rb jd tinggal 11rb perkara sekali capit pake 200 koin terus kalau udh hasil ga semua 250 ada yg cuma 100 huhu belum lg kalau gagal capit
2020-05-03 05:35:32,1256713964919984130,efadeeel,"Blacklist tokopedia, ayo ke shopee",Twitter for Android,0,0,blacklist tokopedia ayo ke shopee
2020-05-03 05:35:27,1256713943331962880,Elda_BD,Saya menjual G11338 GUESS ORIGINAL BAG seharga Rp335.000. Dapatkan produk ini hanya di Shopee! https://t.co/PtqXVNC705 #ShopeeID https://t.co/hXRIUbx2ZO,Twitter for Android,0,0,saya jual g11338 guess original bag harga rp335000 dapat produk ini hanya di shopee
2020-05-03 05:35:27,1256713943277383680,inilifatoel,Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/ymSWbzaobU https://t.co/aZTmLEtEt0,Twitter for Android,0,0,bantu siram tanam kamu juga bisa panen thr total 10m di shopee sekarang
2020-05-03 05:35:20,1256713913422340097,mizaqla,Nak shopping dkt shopee tpi duit semua cash is another level of hurts😞,Twitter for iPhone,1,0,nak shopping dkt shopee tpi duit semua cash is another level of hurts
2020-05-03 05:35:08,1256713862620966919,0804LSBK,@jesuisquinttong ร้านนี้เลยค่ะ https://t.co/0LFiNx8cuP,Twitter for iPhone,2,0,
2020-05-03 05:35:05,1256713853687132161,aqilahasian,Apesal lama sangat nak boleh ke withdrawal duit shopee dengan lazada nii . Almost 5 days doe . Sakit pulakk hati kita lelama giniii,Twitter for Android,0,0,apesal lama sangat nak boleh ke withdrawal duit shopee dengan lazada nii almost 5 days doe sakit pulakk hati kita lama giniii
2020-05-03 05:35:02,1256713838881157122,um_usep,Saya menjual Sepatu  pria... seharga Rp240.000. Dapatkan produk ini hanya di Shopee! https://t.co/AiYni54sbE #ShopeeID https://t.co/iMaBizgGjO,Shopee_ID,0,0,saya jual sepatu pria harga rp240000 dapat produk ini hanya di shopee
2020-05-03 05:34:42,1256713755578101760,_WanAsyraf,"@freakinrey Shopee, tapi lambat sikit ah sebab shipping from overseas https://t.co/sAs2DReJGI",Twitter for iPhone,0,0,shopee tapi lambat sikit ah sebab shipping from overseas
